type,GEOID,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,09013529100,02/2026,1,0,,NA
Census Tract,09013529100,03/2026,0,0,,NA
Census Tract,09013529100,04/2026,0,0,,NA
Census Tract,09013529100,05/2026,1,0.5,,NA
Census Tract,09013529100,06/2026,0,0,,13/06/2026
Census Tract,09013530100,01/2020,1,2,0,NA
Census Tract,09013530100,02/2020,2,1,2,NA
Census Tract,09013530100,03/2020,2,3,1.667,NA
Census Tract,09013530100,04/2020,0,2,1.333,NA
Census Tract,09013530100,05/2020,0,2.5,0.333,NA
Census Tract,09013530100,06/2020,0,0,1.667,NA
Census Tract,09013530100,07/2020,0,0.5,1.667,NA
Census Tract,09013530100,08/2020,0,1,1.667,NA
Census Tract,09013530100,09/2020,0,1,0.667,NA
Census Tract,09013530100,10/2020,1,2,2,NA
Census Tract,09013530100,11/2020,0,2.5,0.667,NA
Census Tract,09013530100,12/2020,1,1.5,1.333,NA
Census Tract,09013530100,01/2021,0,2,0,NA
Census Tract,09013530100,02/2021,0,1,2,NA
Census Tract,09013530100,03/2021,0,3,1.667,NA
Census Tract,09013530100,04/2021,1,2,1.333,NA
Census Tract,09013530100,05/2021,0,2.5,0.333,NA
Census Tract,09013530100,06/2021,0,0,1.667,NA
Census Tract,09013530100,07/2021,0,0.5,1.667,NA
Census Tract,09013530100,08/2021,1,1,1.667,NA
Census Tract,09013530100,09/2021,0,1,0.667,NA
Census Tract,09013530100,10/2021,0,2,2,NA
Census Tract,09013530100,11/2021,1,2.5,0.667,NA
Census Tract,09013530100,12/2021,1,1.5,1.333,NA
Census Tract,09013530100,01/2022,1,2,0,NA
Census Tract,09013530100,02/2022,5,1,2,NA
Census Tract,09013530100,03/2022,1,3,1.667,NA
Census Tract,09013530100,04/2022,2,2,1.333,NA
Census Tract,09013530100,05/2022,0,2.5,0.333,NA
Census Tract,09013530100,06/2022,1,0,1.667,NA
Census Tract,09013530100,07/2022,2,0.5,1.667,NA
Census Tract,09013530100,08/2022,2,1,1.667,NA
Census Tract,09013530100,09/2022,1,1,0.667,NA
Census Tract,09013530100,10/2022,5,2,2,NA
Census Tract,09013530100,11/2022,0,2.5,0.667,NA
Census Tract,09013530100,12/2022,2,1.5,1.333,NA
Census Tract,09013530100,01/2023,3,2,0,NA
Census Tract,09013530100,02/2023,1,1,2,NA
Census Tract,09013530100,03/2023,1,3,1.667,NA
Census Tract,09013530100,04/2023,3,2,1.333,NA
Census Tract,09013530100,05/2023,3,2.5,0.333,NA
Census Tract,09013530100,06/2023,0,0,1.667,NA
Census Tract,09013530100,07/2023,0,0.5,1.667,NA
Census Tract,09013530100,08/2023,2,1,1.667,NA
Census Tract,09013530100,09/2023,2,1,0.667,NA
Census Tract,09013530100,10/2023,1,2,2,NA
Census Tract,09013530100,11/2023,4,2.5,0.667,NA
Census Tract,09013530100,12/2023,3,1.5,1.333,NA
Census Tract,09013530100,01/2024,1,2,0,NA
Census Tract,09013530100,02/2024,1,1,2,NA
Census Tract,09013530100,03/2024,4,3,1.667,NA
Census Tract,09013530100,04/2024,1,2,1.333,NA
Census Tract,09013530100,05/2024,1,2.5,0.333,NA
Census Tract,09013530100,06/2024,1,0,1.667,NA
Census Tract,09013530100,07/2024,0,0.5,1.667,NA
Census Tract,09013530100,08/2024,1,1,1.667,NA
Census Tract,09013530100,09/2024,0,1,0.667,NA
Census Tract,09013530100,10/2024,1,2,2,NA
Census Tract,09013530100,11/2024,0,2.5,0.667,NA
Census Tract,09013530100,12/2024,0,1.5,1.333,NA
Census Tract,09013530100,01/2025,1,2,0,NA
Census Tract,09013530100,02/2025,3,1,2,NA
Census Tract,09013530100,03/2025,0,3,1.667,NA
Census Tract,09013530100,04/2025,2,2,1.333,NA
Census Tract,09013530100,05/2025,0,2.5,0.333,NA
Census Tract,09013530100,06/2025,2,0,1.667,NA
Census Tract,09013530100,07/2025,1,0.5,1.667,NA
Census Tract,09013530100,08/2025,0,1,1.667,NA
Census Tract,09013530100,09/2025,0,1,0.667,NA
Census Tract,09013530100,10/2025,3,2,2,NA
Census Tract,09013530100,11/2025,0,2.5,0.667,NA
Census Tract,09013530100,12/2025,0,1.5,1.333,NA
Census Tract,09013530100,01/2026,1,2,,NA
Census Tract,09013530100,02/2026,3,1,,NA
Census Tract,09013530100,03/2026,0,3,,NA
Census Tract,09013530100,04/2026,0,2,,NA
Census Tract,09013530100,05/2026,2,2.5,,NA
Census Tract,09013530100,06/2026,2,0,,13/06/2026
Census Tract,09013530200,01/2020,5,7.5,6.667,NA
Census Tract,09013530200,02/2020,1,6.5,6.667,NA
Census Tract,09013530200,03/2020,4,3,6.333,NA
Census Tract,09013530200,04/2020,1,7.5,8,NA
Census Tract,09013530200,05/2020,0,9,5.333,NA
Census Tract,09013530200,06/2020,0,5,4.333,NA
Census Tract,09013530200,07/2020,0,9.5,7.333,NA
Census Tract,09013530200,08/2020,1,5,6.667,NA
Census Tract,09013530200,09/2020,0,11,7.667,NA
